urutan,provinsi,value,kategori
1,SULAWESI TENGAH,12.3,tinggi
2,GORONTALO,10.3,tinggi
3,NUSA TENGGARA BARAT,9.7,tinggi
4,MALUKU UTARA,9.3,tinggi
5,NUSA TENGGARA TIMUR,8.8,tinggi
6,BANTEN,8.7,tinggi
7,SUMATERA BARAT,8.2,tinggi
8,SUMATERA UTARA,7.9,tinggi
9,JAWA BARAT,7.8,tinggi
10,SULAWESI SELATAN,7.8,tinggi
11,PAPUA BARAT,7.4,tinggi
12,RIAU,6.6,sedang
13,SULAWESI UTARA,6.6,sedang
14,KEP. BANGKA BELITUNG,6.5,sedang
15,SULAWESI TENGGARA,6.3,sedang
16,KALIMANTAN BARAT,6.2,sedang
17,KALIMANTAN TIMUR,6.2,sedang
18,DKI JAKARTA,5.9,sedang
19,KALIMANTAN UTARA,5.7,sedang
20,DI YOGYAKARTA,5.5,sedang
21,MALUKU,5.3,sedang
22,BALI,5.1,sedang
23,BENGKULU,4.8,rendah
24,KALIMANTAN SELATAN,4.8,rendah
25,JAWA TIMUR,4.5,rendah
26,ACEH,4.4,rendah
27,JAWA TENGAH,4.4,rendah
28,SULAWESI BARAT,4.3,rendah
29,PAPUA,4.0,rendah
30,KALIMANTAN TENGAH,3.9,rendah
31,KEP. RIAU,3.7,rendah
32,SUMATERA SELATAN,3.4,rendah
33,LAMPUNG,3.2,rendah
34,JAMBI,1.8,rendah
